Date,Total_Revenue,Total_Freight,Order_Count,Avg_Delivery_Days,Is_Weekend,Macro Category
18/06/2018 00:00,6832.04,1089.65,51,8.137254902,Weekday,Tech & Gadgets
15/06/2018 00:00,2839.8,623.69,34,8.121212121,Weekday,Tech & Gadgets
14/06/2018 00:00,4779.48,661.99,38,8.552631579,Weekday,Tech & Gadgets
13/06/2018 00:00,7257.06,1059.55,39,9.837837838,Weekday,Tech & Gadgets
12/06/2018 00:00,9651.5,1550.3,59,9.305084746,Weekday,Tech & Gadgets
11/06/2018 00:00,12405.37,1706.77,66,10.53030303,Weekday,Tech & Gadgets
08/06/2018 00:00,5840.45,918.11,39,11.63157895,Weekday,Tech & Gadgets
07/06/2018 00:00,10204.24,1110.83,48,9.729166667,Weekday,Tech & Gadgets
06/06/2018 00:00,5833.56,1020.68,48,10.10416667,Weekday,Tech & Gadgets
05/06/2018 00:00,4810.95,688.28,30,10.34482759,Weekday,Tech & Gadgets
04/06/2018 00:00,5127.03,908,43,9.488372093,Weekday,Tech & Gadgets
01/06/2018 00:00,6344.8,763.94,38,14.36842105,Weekday,Tech & Gadgets
31/05/2018 00:00,9136.82,618.08,30,12.86206897,Weekday,Tech & Gadgets
30/05/2018 00:00,2848.49,560.54,28,13.07142857,Weekday,Tech & Gadgets
29/05/2018 00:00,6332.76,759.07,30,12.83333333,Weekday,Tech & Gadgets
28/05/2018 00:00,6396.55,599.18,31,12.4,Weekday,Tech & Gadgets
25/05/2018 00:00,4707.17,475.8,19,14.26315789,Weekday,Tech & Gadgets
24/05/2018 00:00,1406.76,184.87,14,10.14285714,Weekday,Tech & Gadgets
23/05/2018 00:00,2137.94,416.82,25,12.48,Weekday,Tech & Gadgets
22/05/2018 00:00,8695.93,870.77,36,14.25714286,Weekday,Tech & Gadgets
21/05/2018 00:00,8911.41,1012.19,51,16.34693878,Weekday,Tech & Gadgets
18/05/2018 00:00,8139.55,787.91,51,13.10416667,Weekday,Tech & Gadgets
17/05/2018 00:00,5289.17,656.95,43,13.26829268,Weekday,Tech & Gadgets
16/05/2018 00:00,10749.98,1180.41,73,12.7,Weekday,Tech & Gadgets
15/05/2018 00:00,7988.63,1367.02,78,10.50649351,Weekday,Tech & Gadgets
14/05/2018 00:00,9785.75,1746.41,79,10.30769231,Weekday,Tech & Gadgets
11/05/2018 00:00,9285.13,930.26,49,14.04166667,Weekday,Tech & Gadgets
10/05/2018 00:00,15791.61,1666.14,76,12.74666667,Weekday,Tech & Gadgets
09/05/2018 00:00,10575.81,1510.41,78,13.16,Weekday,Tech & Gadgets
08/05/2018 00:00,9172.01,1045.61,80,10.1,Weekday,Tech & Gadgets
07/05/2018 00:00,14457.35,1369.07,95,9.870967742,Weekday,Tech & Gadgets
04/05/2018 00:00,10764.41,1089.97,61,11.7,Weekday,Tech & Gadgets
03/05/2018 00:00,11943.06,1307.73,83,11.4556962,Weekday,Tech & Gadgets
02/05/2018 00:00,11958.1,1192.68,73,11.49275362,Weekday,Tech & Gadgets
01/05/2018 00:00,6228.5,684.89,55,10.16363636,Weekday,Tech & Gadgets
30/04/2018 00:00,7378.65,932,54,11.76923077,Weekday,Tech & Gadgets
27/04/2018 00:00,6250.48,833.4,59,12.47457627,Weekday,Tech & Gadgets
26/04/2018 00:00,6762.81,920.49,57,11.96491228,Weekday,Tech & Gadgets
25/04/2018 00:00,9908.02,1152.9,63,10.54098361,Weekday,Tech & Gadgets
24/04/2018 00:00,10869.45,862.38,61,10.27868852,Weekday,Tech & Gadgets
23/04/2018 00:00,6562.67,1050.38,59,12.27118644,Weekday,Tech & Gadgets
20/04/2018 00:00,8207,749.55,43,12.57142857,Weekday,Tech & Gadgets
19/04/2018 00:00,8542,1249.58,63,12.20967742,Weekday,Tech & Gadgets
18/04/2018 00:00,10359.92,1241.17,67,12.58730159,Weekday,Tech & Gadgets
17/04/2018 00:00,6378.62,1166.45,58,13.58928571,Weekday,Tech & Gadgets
16/04/2018 00:00,8414.53,1442.17,71,13.01470588,Weekday,Tech & Gadgets
13/04/2018 00:00,8234.93,995.32,41,13.10810811,Weekday,Tech & Gadgets
12/04/2018 00:00,6475.76,1173.62,52,13.37254902,Weekday,Tech & Gadgets
11/04/2018 00:00,10623.54,1093.27,56,12.01923077,Weekday,Tech & Gadgets
10/04/2018 00:00,5847.91,722.15,35,12.78787879,Weekday,Tech & Gadgets
09/04/2018 00:00,8175.41,1093.67,49,9.428571429,Weekday,Tech & Gadgets
06/04/2018 00:00,7158.88,718.36,40,10.92105263,Weekday,Tech & Gadgets
05/04/2018 00:00,7112.65,1008.76,44,13.37209302,Weekday,Tech & Gadgets
04/04/2018 00:00,8975.57,954.35,50,9.804347826,Weekday,Tech & Gadgets
03/04/2018 00:00,8788.43,1303.58,61,13.25,Weekday,Tech & Gadgets
02/04/2018 00:00,8755.4,1524.99,76,12.02666667,Weekday,Tech & Gadgets
30/03/2018 00:00,3171.92,644.7,27,15.92592593,Weekday,Tech & Gadgets
29/03/2018 00:00,9405.81,1002.67,49,17.36170213,Weekday,Tech & Gadgets
28/03/2018 00:00,10034.74,1119.87,55,14.62264151,Weekday,Tech & Gadgets
27/03/2018 00:00,7707.03,1191.34,57,12.71929825,Weekday,Tech & Gadgets
26/03/2018 00:00,7075.65,1612.24,74,12.89189189,Weekday,Tech & Gadgets
23/03/2018 00:00,6964.29,1264.16,66,13.79365079,Weekday,Tech & Gadgets
22/03/2018 00:00,6817.36,1042.9,54,15.24074074,Weekday,Tech & Gadgets
21/03/2018 00:00,13876.62,1371.23,65,13.49230769,Weekday,Tech & Gadgets
20/03/2018 00:00,7954.56,1252.88,62,16.01612903,Weekday,Tech & Gadgets
19/03/2018 00:00,15690.75,1813.91,83,16.2195122,Weekday,Tech & Gadgets
16/03/2018 00:00,6370.9,1220.55,60,16.92857143,Weekday,Tech & Gadgets
15/03/2018 00:00,13903.25,1481.69,68,16.88059701,Weekday,Tech & Gadgets
14/03/2018 00:00,6804.26,1183.06,53,16.51923077,Weekday,Tech & Gadgets
13/03/2018 00:00,6703.79,991.52,50,17.76,Weekday,Tech & Gadgets
12/03/2018 00:00,7926.56,1361.91,66,19.46969697,Weekday,Tech & Gadgets
